,0
1000,HOLD
1001,HOLD
1002,HOLD
1003,HOLD
1004,HOLD
1005,HOLD
1006,HOLD
1007,HOLD
1008,HOLD
1009,HOLD
1010,HOLD
1011,HOLD
1012,HOLD
1013,HOLD
1014,HOLD
1015,HOLD
1016,HOLD
1017,HOLD
1018,HOLD
1019,HOLD
1020,HOLD
1021,HOLD
1022,HOLD
1023,HOLD
1024,HOLD
1025,HOLD
1026,HOLD
1027,HOLD
1028,HOLD
1029,HOLD
1030,HOLD
1031,HOLD
1032,HOLD
1033,HOLD
1034,HOLD
1035,HOLD
1036,HOLD
1037,HOLD
1038,HOLD
1039,HOLD
1040,HOLD
1041,HOLD
1042,HOLD
1043,HOLD
1044,ORDER_BUY
1045,HOLD
1046,HOLD
1047,HOLD
1048,HOLD
1049,HOLD
1050,HOLD
1051,HOLD
1052,HOLD
1053,HOLD
1054,HOLD
1055,HOLD
1056,HOLD
1057,HOLD
1058,HOLD
1059,HOLD
1060,HOLD
1061,HOLD
1062,HOLD
1063,HOLD
1064,HOLD
1065,HOLD
1066,HOLD
1067,HOLD
1068,HOLD
1069,HOLD
1070,HOLD
1071,HOLD
1072,HOLD
1073,HOLD
1074,HOLD
1075,HOLD
1076,HOLD
1077,HOLD
1078,HOLD
1079,HOLD
1080,HOLD
1081,HOLD
1082,HOLD
1083,HOLD
1084,HOLD
1085,HOLD
1086,HOLD
1087,HOLD
1088,HOLD
1089,HOLD
1090,HOLD
1091,HOLD
1092,HOLD
1093,HOLD
1094,HOLD
1095,ORDER_SELL
1096,HOLD
1097,ORDER_BUY
1098,HOLD
1099,HOLD
1100,HOLD
1101,HOLD
1102,HOLD
1103,HOLD
1104,HOLD
1105,HOLD
1106,HOLD
1107,HOLD
1108,HOLD
1109,HOLD
1110,HOLD
1111,HOLD
1112,HOLD
1113,HOLD
1114,HOLD
1115,HOLD
1116,HOLD
1117,HOLD
1118,HOLD
1119,HOLD
1120,HOLD
1121,HOLD
1122,HOLD
1123,HOLD
1124,HOLD
1125,HOLD
1126,HOLD
1127,HOLD
1128,HOLD
1129,HOLD
1130,HOLD
1131,ORDER_SELL
1132,HOLD
1133,HOLD
1134,HOLD
1135,HOLD
1136,HOLD
1137,HOLD
1138,HOLD
1139,HOLD
1140,HOLD
1141,HOLD
1142,HOLD
1143,HOLD
1144,HOLD
1145,HOLD
1146,HOLD
1147,HOLD
1148,ORDER_BUY
1149,HOLD
1150,HOLD
1151,HOLD
1152,HOLD
1153,HOLD
1154,ORDER_SELL
1155,HOLD
1156,HOLD
1157,HOLD
1158,HOLD
1159,HOLD
1160,HOLD
1161,HOLD
1162,HOLD
1163,HOLD
1164,HOLD
1165,HOLD
1166,HOLD
1167,HOLD
1168,HOLD
1169,ORDER_BUY
1170,HOLD
1171,HOLD
1172,HOLD
1173,HOLD
1174,HOLD
1175,HOLD
1176,HOLD
1177,HOLD
1178,HOLD
1179,HOLD
1180,HOLD
1181,HOLD
1182,HOLD
1183,HOLD
1184,HOLD
1185,HOLD
1186,HOLD
1187,HOLD
1188,HOLD
1189,HOLD
1190,HOLD
1191,HOLD
1192,HOLD
1193,HOLD
1194,HOLD
1195,HOLD
1196,HOLD
1197,HOLD
1198,HOLD
1199,HOLD
1200,HOLD
1201,HOLD
1202,HOLD
1203,HOLD
1204,HOLD
1205,HOLD
1206,HOLD
1207,HOLD
1208,HOLD
1209,HOLD
1210,HOLD
1211,HOLD
1212,HOLD
1213,HOLD
1214,HOLD
1215,ORDER_SELL
1216,HOLD
1217,HOLD
1218,HOLD
1219,HOLD
1220,HOLD
1221,HOLD
1222,HOLD
1223,HOLD
1224,HOLD
1225,HOLD
1226,HOLD
1227,HOLD
1228,HOLD
1229,HOLD
1230,HOLD
1231,HOLD
1232,HOLD
1233,HOLD
1234,HOLD
1235,HOLD
1236,HOLD
1237,HOLD
1238,HOLD
1239,HOLD
1240,HOLD
1241,HOLD
1242,HOLD
1243,HOLD
1244,HOLD
1245,HOLD
1246,HOLD
1247,HOLD
1248,HOLD
1249,HOLD
1250,HOLD
1251,HOLD
1252,HOLD
1253,HOLD
1254,HOLD
1255,HOLD
1256,HOLD
1257,HOLD
1258,HOLD
1259,HOLD
1260,HOLD
1261,HOLD
1262,HOLD
1263,HOLD
1264,HOLD
1265,HOLD
1266,HOLD
1267,HOLD
1268,ORDER_BUY
1269,HOLD
1270,HOLD
1271,HOLD
1272,HOLD
1273,HOLD
1274,HOLD
1275,HOLD
1276,HOLD
1277,HOLD
1278,HOLD
1279,HOLD
1280,HOLD
1281,HOLD
1282,HOLD
1283,HOLD
1284,HOLD
1285,HOLD
1286,HOLD
1287,HOLD
1288,HOLD
1289,HOLD
1290,HOLD
1291,HOLD
1292,HOLD
1293,HOLD
1294,HOLD
1295,HOLD
1296,HOLD
1297,HOLD
1298,HOLD
1299,HOLD
1300,HOLD
1301,HOLD
1302,HOLD
1303,HOLD
1304,HOLD
1305,HOLD
1306,HOLD
1307,HOLD
1308,HOLD
1309,HOLD
1310,HOLD
1311,HOLD
1312,HOLD
1313,HOLD
1314,HOLD
1315,HOLD
1316,HOLD
1317,HOLD
1318,HOLD
1319,HOLD
1320,HOLD
1321,HOLD
1322,HOLD
1323,HOLD
1324,HOLD
1325,HOLD
1326,HOLD
1327,ORDER_SELL
1328,HOLD
1329,HOLD
1330,HOLD
1331,HOLD
1332,HOLD
1333,HOLD
1334,HOLD
1335,HOLD
1336,HOLD
1337,HOLD
1338,HOLD
1339,HOLD
1340,HOLD
1341,HOLD
1342,HOLD
1343,HOLD
1344,HOLD
1345,HOLD
1346,HOLD
1347,HOLD
1348,HOLD
1349,HOLD
1350,HOLD
1351,HOLD
1352,HOLD
1353,HOLD
1354,HOLD
1355,HOLD
1356,HOLD
1357,HOLD
1358,HOLD
1359,HOLD
1360,HOLD
1361,HOLD
1362,HOLD
1363,HOLD
1364,HOLD
1365,HOLD
1366,HOLD
1367,HOLD
1368,HOLD
1369,HOLD
1370,HOLD
1371,HOLD
1372,HOLD
1373,HOLD
1374,HOLD
1375,HOLD
1376,HOLD
1377,HOLD
1378,HOLD
1379,HOLD
1380,HOLD
1381,HOLD
1382,HOLD
1383,HOLD
1384,HOLD
1385,HOLD
1386,HOLD
1387,HOLD
1388,HOLD
1389,HOLD
1390,HOLD
1391,HOLD
1392,HOLD
1393,HOLD
1394,HOLD
1395,HOLD
1396,HOLD
1397,HOLD
1398,HOLD
1399,HOLD
1400,HOLD
1401,HOLD
1402,HOLD
1403,HOLD
1404,HOLD
1405,HOLD
1406,HOLD
1407,HOLD
1408,HOLD
1409,HOLD
1410,HOLD
1411,HOLD
1412,HOLD
1413,HOLD
1414,HOLD
1415,HOLD
1416,HOLD
1417,HOLD
1418,HOLD
1419,HOLD
1420,HOLD
1421,HOLD
1422,HOLD
1423,HOLD
1424,HOLD
1425,HOLD
1426,HOLD
1427,HOLD
1428,HOLD
1429,HOLD
1430,HOLD
1431,HOLD
1432,HOLD
1433,HOLD
1434,HOLD
1435,HOLD
1436,HOLD
1437,HOLD
1438,HOLD
1439,HOLD
1440,HOLD
1441,HOLD
1442,HOLD
1443,HOLD
1444,HOLD
1445,HOLD
1446,HOLD
1447,HOLD
1448,HOLD
1449,HOLD
1450,ORDER_BUY
1451,HOLD
1452,HOLD
1453,HOLD
1454,HOLD
1455,HOLD
1456,HOLD
1457,HOLD
1458,HOLD
1459,HOLD
1460,HOLD
1461,HOLD
1462,HOLD
1463,HOLD
1464,HOLD
1465,HOLD
1466,HOLD
1467,HOLD
1468,HOLD
1469,HOLD
1470,HOLD
1471,HOLD
1472,HOLD
1473,HOLD
1474,HOLD
1475,HOLD
1476,HOLD
1477,HOLD
1478,HOLD
1479,HOLD
1480,HOLD
1481,HOLD
1482,HOLD
1483,HOLD
1484,HOLD
1485,HOLD
1486,HOLD
1487,HOLD
1488,HOLD
1489,HOLD
1490,HOLD
1491,HOLD
1492,HOLD
1493,HOLD
1494,HOLD
1495,HOLD
1496,HOLD
1497,HOLD
1498,HOLD
1499,HOLD
1500,HOLD
1501,HOLD
1502,HOLD
1503,HOLD
1504,HOLD
1505,HOLD
1506,HOLD
1507,HOLD
1508,HOLD
1509,HOLD
1510,HOLD
1511,HOLD
1512,HOLD
1513,HOLD
1514,HOLD
1515,HOLD
1516,HOLD
1517,HOLD
1518,HOLD
1519,HOLD
1520,HOLD
1521,HOLD
1522,HOLD
1523,HOLD
1524,HOLD
1525,HOLD
1526,HOLD
1527,HOLD
1528,HOLD
1529,HOLD
1530,HOLD
1531,HOLD
1532,HOLD
1533,HOLD
1534,HOLD
1535,HOLD
1536,HOLD
1537,HOLD
1538,HOLD
1539,HOLD
1540,HOLD
1541,HOLD
1542,HOLD
1543,HOLD
1544,HOLD
1545,HOLD
1546,HOLD
1547,HOLD
1548,HOLD
1549,HOLD
1550,HOLD
1551,HOLD
1552,HOLD
1553,HOLD
1554,HOLD
1555,HOLD
1556,HOLD
1557,HOLD
1558,HOLD
1559,HOLD
1560,HOLD
1561,HOLD
1562,HOLD
1563,HOLD
1564,HOLD
1565,HOLD
1566,HOLD
1567,HOLD
1568,ORDER_SELL
1569,HOLD
1570,ORDER_BUY
1571,HOLD
1572,HOLD
1573,HOLD
1574,HOLD
1575,HOLD
1576,HOLD
1577,HOLD
1578,HOLD
1579,HOLD
1580,HOLD
1581,HOLD
1582,HOLD
1583,HOLD
1584,HOLD
1585,HOLD
1586,HOLD
1587,HOLD
1588,HOLD
1589,ORDER_SELL
1590,HOLD
1591,HOLD
1592,HOLD
1593,HOLD
1594,HOLD
1595,HOLD
1596,HOLD
1597,HOLD
1598,HOLD
1599,HOLD
1600,HOLD
1601,HOLD
1602,HOLD
1603,HOLD
1604,ORDER_BUY
1605,HOLD
1606,HOLD
1607,ORDER_SELL
1608,HOLD
1609,HOLD
1610,HOLD
1611,HOLD
1612,HOLD
1613,HOLD
1614,HOLD
1615,HOLD
1616,HOLD
1617,HOLD
1618,HOLD
1619,HOLD
1620,HOLD
1621,ORDER_BUY
1622,HOLD
1623,HOLD
1624,HOLD
1625,HOLD
1626,HOLD
1627,HOLD
1628,HOLD
1629,HOLD
1630,HOLD
1631,HOLD
1632,HOLD
1633,HOLD
1634,HOLD
1635,HOLD
1636,HOLD
1637,HOLD
1638,HOLD
1639,HOLD
1640,HOLD
1641,HOLD
1642,HOLD
1643,ORDER_SELL
1644,HOLD
1645,HOLD
1646,HOLD
1647,HOLD
1648,HOLD
1649,HOLD
1650,HOLD
1651,HOLD
1652,HOLD
1653,HOLD
1654,HOLD
1655,HOLD
1656,HOLD
1657,HOLD
1658,HOLD
1659,HOLD
1660,HOLD
1661,HOLD
1662,HOLD
1663,HOLD
1664,HOLD
1665,HOLD
1666,HOLD
1667,HOLD
1668,HOLD
1669,ORDER_BUY
1670,HOLD
1671,HOLD
1672,HOLD
1673,HOLD
1674,HOLD
1675,HOLD
1676,HOLD
1677,HOLD
1678,HOLD
1679,HOLD
1680,HOLD
1681,HOLD
1682,HOLD
1683,HOLD
1684,HOLD
1685,HOLD
1686,HOLD
1687,HOLD
1688,HOLD
1689,HOLD
1690,HOLD
1691,HOLD
1692,HOLD
1693,HOLD
1694,HOLD
1695,HOLD
1696,HOLD
1697,HOLD
1698,HOLD
1699,HOLD
1700,HOLD
1701,HOLD
1702,HOLD
1703,HOLD
1704,HOLD
1705,HOLD
1706,HOLD
1707,HOLD
1708,HOLD
1709,HOLD
1710,HOLD
1711,HOLD
1712,HOLD
1713,HOLD
1714,HOLD
1715,ORDER_SELL
1716,HOLD
1717,HOLD
1718,HOLD
1719,HOLD
1720,HOLD
1721,HOLD
1722,HOLD
1723,HOLD
1724,HOLD
1725,HOLD
1726,HOLD
1727,HOLD
1728,HOLD
1729,HOLD
1730,HOLD
1731,HOLD
1732,HOLD
1733,HOLD
1734,HOLD
1735,HOLD
1736,HOLD
1737,HOLD
1738,HOLD
1739,HOLD
1740,HOLD
1741,HOLD
1742,HOLD
1743,HOLD
1744,HOLD
1745,HOLD
1746,HOLD
1747,HOLD
1748,HOLD
1749,HOLD
1750,HOLD
1751,HOLD
1752,HOLD
1753,HOLD
1754,HOLD
1755,HOLD
1756,HOLD
1757,HOLD
1758,HOLD
1759,HOLD
1760,HOLD
1761,HOLD
1762,HOLD
1763,HOLD
1764,HOLD
1765,HOLD
1766,HOLD
1767,HOLD
1768,HOLD
1769,HOLD
1770,HOLD
1771,HOLD
1772,HOLD
1773,HOLD
1774,HOLD
1775,HOLD
1776,HOLD
1777,HOLD
1778,HOLD
1779,HOLD
1780,HOLD
1781,HOLD
1782,HOLD
1783,HOLD
1784,HOLD
1785,HOLD
